year,Date,transactions,Qty Sold,Revenue
2021,4/1/2022,17084,1,49
2021,4/1/2022,17085,1,2.3
2021,4/1/2022,17086,2,11.4
2021,4/1/2022,17081,1,12
2021,4/1/2022,17082,2,7.3
2021,4/1/2022,17083,3,8
2021,4/1/2022,17090,5,40.8
2021,4/1/2022,17091,15,16
2021,4/1/2022,17092,2,18
2021,4/1/2022,17087,4,8.1
2021,4/1/2022,17088,1,16
2021,4/1/2022,17089,1,19
2021,4/1/2022,17072,1,1.5
2021,4/1/2022,17073,1,1
2021,4/1/2022,17074,1,3.5
2021,4/1/2022,17069,1,1
2021,4/1/2022,17070,11,3
2021,4/1/2022,17071,2,18.2
2021,4/1/2022,17078,5,1
2021,4/1/2022,17079,10,10
2021,4/1/2022,17080,2,64
2021,4/1/2022,17075,4,7
2021,4/1/2022,17076,3,15.5
2021,4/1/2022,17077,1,17
2021,4/2/2022,17113,1,9
2021,4/2/2022,17114,1,10
2021,4/2/2022,17115,4,9
2021,4/2/2022,17112,3,3
2021,4/2/2022,17109,11,33.6
2021,4/2/2022,17110,2,11
2021,4/2/2022,17111,3,22
2021,4/2/2022,17116,1,2
2021,4/2/2022,17121,3,15.5
2021,4/2/2022,17122,30,40
2021,4/2/2022,17123,1,5
2021,4/2/2022,17120,1,42
2021,4/2/2022,17117,7,32
2021,4/2/2022,17118,1,2
2021,4/2/2022,17119,1,2
2021,4/2/2022,17108,1,15
2021,4/2/2022,17097,2,14.5
2021,4/2/2022,17098,2,56.5
2021,4/2/2022,17099,1,5
2021,4/2/2022,17096,1,34
2021,4/2/2022,17093,1,10
2021,4/2/2022,17094,1,7.5
2021,4/2/2022,17095,29,19.2
2021,4/2/2022,17100,4,20.5
2021,4/2/2022,17105,5,150
2021,4/2/2022,17106,3,32.5
2021,4/2/2022,17107,2,4.6
2021,4/2/2022,17104,30,6
2021,4/2/2022,17101,1,36
2021,4/2/2022,17102,1,21
2021,4/2/2022,17103,1,2
2021,4/3/2022,17134,3,21
2021,4/3/2022,17135,8,43
2021,4/3/2022,17132,4,9.5
2021,4/3/2022,17133,1,5
2021,4/3/2022,17138,3,6
2021,4/3/2022,17139,3,3
2021,4/3/2022,17136,3,46
2021,4/3/2022,17137,5,12
2021,4/3/2022,17126,1,3.5
2021,4/3/2022,17127,11,112.5
2021,4/3/2022,17124,1,3.5
2021,4/3/2022,17125,3,8
2021,4/3/2022,17130,2,2
2021,4/3/2022,17131,2,2
2021,4/3/2022,17128,1,19
2021,4/3/2022,17129,3,14
2021,4/4/2022,17156,4,63.5
2021,4/4/2022,17157,2,17.5
2021,4/4/2022,17158,6,38.5
2021,4/4/2022,17153,4,49.5
2021,4/4/2022,17154,4,15
2021,4/4/2022,17155,1,44
2021,4/4/2022,17162,1,10
2021,4/4/2022,17163,2,10
2021,4/4/2022,17164,3,5
2021,4/4/2022,17159,2,24
2021,4/4/2022,17160,2,4
2021,4/4/2022,17161,2,26
2021,4/4/2022,17152,58,66.8
2021,4/4/2022,17143,2,16
2021,4/4/2022,17144,2,24.5
2021,4/4/2022,17145,1,9
2021,4/4/2022,17140,1,22.5
2021,4/4/2022,17141,1,4.5
2021,4/4/2022,17142,1,10.5
2021,4/4/2022,17149,7,36.4
2021,4/4/2022,17150,3,56
2021,4/4/2022,17151,2,4
2021,4/4/2022,17146,1,7
2021,4/4/2022,17147,2,3
2021,4/4/2022,17148,2,24.5
2021,4/5/2022,17179,5,48
2021,4/5/2022,17180,2,15.5
2021,4/5/2022,17178,3,30.5
2021,4/5/2022,17176,4,56.5
2021,4/5/2022,17177,2,7
2021,4/5/2022,17181,1,15
2021,4/5/2022,17185,1,2
2021,4/5/2022,17186,20,4
2021,4/5/2022,17184,1,12
2021,4/5/2022,17182,5,63.5
2021,4/5/2022,17183,1,21
2021,4/5/2022,17168,1,17
2021,4/5/2022,17169,1,19
2021,4/5/2022,17167,2,20
2021,4/5/2022,17165,1,6
2021,4/5/2022,17166,1,9
2021,4/5/2022,17170,1,2
2021,4/5/2022,17174,1,2
2021,4/5/2022,17175,1,6.5
2021,4/5/2022,17173,5,5
2021,4/5/2022,17171,3,18
2021,4/5/2022,17172,3,15
2021,4/6/2022,17202,3,54.5
2021,4/6/2022,17203,1,2
2021,4/6/2022,17204,1,6
2021,4/6/2022,17199,1,10
2021,4/6/2022,17200,1,30
2021,4/6/2022,17201,10,15
2021,4/6/2022,17208,4,20
2021,4/6/2022,17209,2,10
2021,4/6/2022,17210,2,21.5
2021,4/6/2022,17205,1,3
2021,4/6/2022,17206,12,204
2021,4/6/2022,17207,6,6.2
2021,4/6/2022,17190,1,3
2021,4/6/2022,17191,3,20.2
2021,4/6/2022,17192,3,35
2021,4/6/2022,17187,1,13
2021,4/6/2022,17188,3,3
2021,4/6/2022,17189,2,24.5
2021,4/6/2022,17196,1,7
2021,4/6/2022,17197,28,11.2
2021,4/6/2022,17198,1,2
2021,4/6/2022,17193,1,7.5
2021,4/6/2022,17194,1,2
2021,4/6/2022,17195,1,1
2021,4/7/2022,17223,1,22.5
2021,4/7/2022,17224,1,19
2021,4/7/2022,17221,1,2
2021,4/7/2022,17222,1,5
2021,4/7/2022,17225,11,102.5
2021,4/7/2022,17228,2,1.8
2021,4/7/2022,17229,11,20.8
2021,4/7/2022,17226,8,30
2021,4/7/2022,17227,2,30
2021,4/7/2022,17220,30,20
2021,4/7/2022,17213,1,10
2021,4/7/2022,17214,1,10
2021,4/7/2022,17211,2,24
2021,4/7/2022,17212,1,3
2021,4/7/2022,17215,2,23
2021,4/7/2022,17218,1,1.5
2021,4/7/2022,17219,1,1
2021,4/7/2022,17216,3,18.5
2021,4/7/2022,17217,6,7.8
2021,4/8/2022,17246,1,19
2021,4/8/2022,17247,1,9
2021,4/8/2022,17248,3,4.5
2021,4/8/2022,17243,1,1
2021,4/8/2022,17244,1,10
2021,4/8/2022,17245,2,5
2021,4/8/2022,17249,1,12
2021,4/8/2022,17253,4,36
2021,4/8/2022,17254,1,3.5
2021,4/8/2022,17255,1,2.5
2021,4/8/2022,17250,1,8
2021,4/8/2022,17251,1,3.5
2021,4/8/2022,17252,2,9.3
2021,4/8/2022,17233,5,37.5
2021,4/8/2022,17234,2,5
2021,4/8/2022,17235,3,6
2021,4/8/2022,17230,2,27
2021,4/8/2022,17231,1,6.5
2021,4/8/2022,17232,3,38
2021,4/8/2022,17236,1,3.5
2021,4/8/2022,17240,1,41
2021,4/8/2022,17241,1,3
2021,4/8/2022,17242,1,2
2021,4/8/2022,17237,1,10
2021,4/8/2022,17238,1,2
2021,4/8/2022,17239,10,3.5
2021,4/9/2022,17279,3,17
2021,4/9/2022,17278,1,2.3
2021,4/9/2022,17281,1,20
2021,4/9/2022,17280,3,21
2021,4/9/2022,17275,3,9
2021,4/9/2022,17274,1,2
2021,4/9/2022,17277,1,2
2021,4/9/2022,17276,1,10
2021,4/9/2022,17282,1,25
2021,4/9/2022,17288,3,3.6
2021,4/9/2022,17287,1,5
2021,4/9/2022,17290,2,112
2021,4/9/2022,17289,2,12
2021,4/9/2022,17284,1,10
2021,4/9/2022,17283,2,2
2021,4/9/2022,17286,1,20
2021,4/9/2022,17285,2,7.5
2021,4/9/2022,17273,3,23
2021,4/9/2022,17261,1,3
2021,4/9/2022,17260,1,2
2021,4/9/2022,17263,4,20
2021,4/9/2022,17262,1,9
2021,4/9/2022,17257,1,42
2021,4/9/2022,17256,3,15
2021,4/9/2022,17259,1,22
2021,4/9/2022,17258,2,6.6
2021,4/9/2022,17264,2,1
2021,4/9/2022,17270,5,9
2021,4/9/2022,17269,2,15
2021,4/9/2022,17272,4,40
2021,4/9/2022,17271,10,6
2021,4/9/2022,17266,1,11
2021,4/9/2022,17265,1,24
2021,4/9/2022,17268,2,3
2021,4/9/2022,17267,1,25
2021,4/10/2022,17307,1,15.5
2021,4/10/2022,17308,1,2
2021,4/10/2022,17309,1,19
2021,4/10/2022,17304,11,10
2021,4/10/2022,17305,1,10
2021,4/10/2022,17306,2,13.5
2021,4/10/2022,17310,1,8.5
2021,4/10/2022,17314,3,9.5
2021,4/10/2022,17315,1,4.2
2021,4/10/2022,17316,2,10
2021,4/10/2022,17311,4,2
2021,4/10/2022,17312,2,4
2021,4/10/2022,17313,4,27
2021,4/10/2022,17294,1,7
2021,4/10/2022,17295,2,12
2021,4/10/2022,17296,2,3
2021,4/10/2022,17291,1,8
2021,4/10/2022,17292,2,10.5
2021,4/10/2022,17293,5,10.5
2021,4/10/2022,17297,1,3.5
