year,month,product,category,sub_category,qty ,unit_cost_price,unit_sale_price,total_cost_price,total_sale_price,gross_profit,margin
2021,NOV_21,3CP ANTISEPTIC 100ml,OTC,FIRST_AID,2,12.3,16.5,24.6,33,8.4,25.5
2021,NOV_21,ABONIKI BALM 25G,OTC,ANALGESIC,7,4.2,6.5,29.4,45.5,16.1,35.4
2021,NOV_21,ADOM KOO MIXTURE,OTC,HERBAL,2,5.5,8,11,16,5,31.3
2021,NOV_21,ADOM KOOKO CAPS 30'S,OTC,HERBAL,3,11.7,16,35.1,48,12.9,26.9
2021,NOV_21,AGBEVE TONIC,OTC,VITAMINS,1,8,11,8,11,3,27.3
2021,NOV_21,ALKA 5 SYR 100ML CHARAK,OTC,HERBAL,6,27,38,162,228,66,28.9
2021,NOV_21,ALPHA GARLIC CAPS,OTC,VITAMINS,1,11.49,17,11.49,17,5.51,32.4
2021,NOV_21,ALUDROX TABS (M&G),OTC,GI_LAX_ANTACID,4,0.41,0.6,1.64,2.4,0.76,31.7
2021,NOV_21,ALWAYS ULTRA THIN PAD 14's,OTC,PERSONAL_CARE_F,1,10,12,10,12,2,16.7
2021,NOV_21,AMCOF INFANT 100ml,OTC,ANALGESIC,2,5,7,10,14,4,28.6
2021,NOV_21,AMLODIPINE 10MG TAB 28'S,RX,CARDIO,70,0.27,0.4,18.7,28,9.3,33.2
2021,NOV_21,AMLODIPINE 5MG TABS UK,RX,CARDIO,140,0.22,0.3,30.15,42,11.85,28.2
2021,NOV_21,AMOKSIKLAV 1G TABS,RX,ANTI_INFECTION,3,32,44,96,132,36,27.3
2021,NOV_21,AMOKSIKLAV 228MG/5ML SUSPENSION,RX,ANTI_INFECTION,1,14.3,20,14.3,20,5.7,28.5
2021,NOV_21,AMOKSIKLAV 228MG/5ML SUSPENSION,RX,ANTI_INFECTION,1,14.3,20,14.3,20,5.7,28.5
2021,NOV_21,AMOKSIKLAV 625mg TABS,RX,ANTI_INFECTION,3,21.9,30,65.7,90,24.3,27
2021,NOV_21,AMOXICILLIN 500MG CAPS (UK) 21',RX,ANTI_INFECTION,5,16,22,80,110,30,27.3
2021,NOV_21,ANDREWS LIVER SALT,OTC,GI_LAX_ANTACID,29,0.7,1,20.3,29,8.7,30
2021,NOV_21,ANDREWS LIVER SALT,OTC,GI_LAX_ANTACID,25,0.7,1,17.5,25,7.5,30
2021,NOV_21,APC 10'S TABS KINAPHARMA,OTC,ANALGESIC,3,1.16,1.6,3.48,4.8,1.32,27.5
2021,NOV_21,APETAMIN CYPROHEPTADINE SYRUP,OTC,VITAMINS,4,14.32,20,57.28,80,22.72,28.4
2021,NOV_21,ASMADRIN TABS 4 X 25,OTC,RESP,1,0.52,0.8,0.52,0.8,0.28,35
2021,NOV_21,AUGMENTIN 1G TABS,RX,ANTI_INFECTION,1,50,50,50,50,0,0
2021,NOV_21,AWAKE MINERAL WATER 500ML,OTC,FOOD,32,0.75,1,24,32,8,25
2021,NOV_21,AZOMAX 500MG TAB,RX,ANTI_INFECTION,4,25.2,35,100.8,140,39.2,28
2021,NOV_21,"AZOMAX AZITHROMYCIN SUSP 200MG,",RX,ANTI_INFECTION,3,27.77,38,83.31,114,30.69,26.9
2021,NOV_21,BELLS BABY TEETHING MIXTURE,OTC,MOTHER_BABY,1,16.28,22,16.28,22,5.72,26
2021,NOV_21,BELLS VITAMIN C SYRUP 100ML,OTC,VITAMINS_PED,5,13,18,65,90,25,27.8
2021,NOV_21,BENDRO 2.5 TABS LOCAL,RX,CARDIO,11,0.47,0.6,5.13,6.6,1.47,22.3
2021,NOV_21,BENDROFLUMETHIAZIDE 28'S 2.5MG,RX,CARDIO,2,6.25,8.75,12.5,17.5,5,28.6
2021,NOV_21,BENYLIN CHILDREN'S CHESTY 6+,OTC,COUGH_COLD_PED,1,40,54,40,54,14,25.9
2021,NOV_21,BENYLIN INFANT COUGH SYR 125ML,OTC,COUGH_COLD_PED,2,33.89,46,67.78,92,24.22,26.3
2021,NOV_21,BETA MALT PLASTIC DRINK 330ML,OTC,FOOD,2,2.92,4,5.84,8,2.16,27
2021,NOV_21,BETA MALT PLASTIC DRINK 330ML,OTC,FOOD,8,3.17,4,25.35,32,6.65,20.8
