month,product,category,sub_category,qty ,unit_cost_price,unit_sale_price,total_cost_price,total_sale_price,gross_profit,margin,,,,,,,,
NOV_21,3CP ANTISEPTIC 100ml,OTC,FIRST_AID,2,12.30,16.50,24.6,33,8.40,25.5,,,,,,,,
NOV_21,ABONIKI BALM 25G,OTC,ANALGESIC,7,4.20,6.50,29.4,45.5,16.10,35.4,,,,,,,,
NOV_21,ADOM KOO MIXTURE,OTC,HERBAL,2,5.50,8.00,11,16,5.00,31.3,,,,,,,,
NOV_21,ADOM KOOKO CAPS 30'S,OTC,HERBAL,3,11.70,16.00,35.1,48,12.90,26.9,,,,,,,,
NOV_21,AGBEVE TONIC,OTC,VITAMINS,1,8.00,11.00,8,11,3.00,27.3,,,,,,,,
NOV_21,ALKA 5 SYR 100ML CHARAK,OTC,HERBAL,6,27.00,38.00,162,228,66.00,28.9,,,,,,,,
NOV_21,ALPHA GARLIC CAPS,OTC,VITAMINS,1,11.49,17.00,11.49,17,5.51,32.4,,,,,,,,
NOV_21,ALUDROX TABS (M&G),OTC,GI_LAX_ANTACID,4,0.41,0.60,1.64,2.4,0.76,31.7,,,,,,,,
NOV_21,ALWAYS ULTRA THIN PAD 14's,OTC,PERSONAL_CARE_F,1,10.00,12.00,10,12,2.00,16.7,,,,,,,,
NOV_21,AMCOF INFANT 100ml,OTC,ANALGESIC,2,5.00,7.00,10,14,4.00,28.6,,,,,,,,
NOV_21,AMLODIPINE 10MG TAB 28'S,RX,CARDIO,70,0.27,0.40,18.7,28,9.30,33.2,,,,,,,,
NOV_21,AMLODIPINE 5MG TABS UK,RX,CARDIO,140,0.22,0.30,30.15,42,11.85,28.2,,,,,,,,
NOV_21,AMOKSIKLAV 1G TABS,RX,ANTI_INFECTION,3,32.00,44.00,96,132,36.00,27.3,,,,,,,,
NOV_21,AMOKSIKLAV 228MG/5ML SUSPENSION,RX,ANTI_INFECTION,1,14.30,20.00,14.3,20,5.70,28.5,,,,,,,,
NOV_21,AMOKSIKLAV 228MG/5ML SUSPENSION,RX,ANTI_INFECTION,1,14.30,20.00,14.3,20,5.70,28.5,,,,,,,,
NOV_21,AMOKSIKLAV 625mg TABS,RX,ANTI_INFECTION,3,21.90,30.00,65.7,90,24.30,27.0,,,,,,,,
NOV_21,AMOXICILLIN 500MG CAPS (UK) 21',RX,ANTI_INFECTION,5,16.00,22.00,80,110,30.00,27.3,,,,,,,,
NOV_21,ANDREWS LIVER SALT,OTC,GI_LAX_ANTACID,29,0.70,1.00,20.3,29,8.70,30.0,,,,,,,,
NOV_21,ANDREWS LIVER SALT,OTC,GI_LAX_ANTACID,25,0.70,1.00,17.5,25,7.50,30.0,,,,,,,,
NOV_21,APC 10'S TABS KINAPHARMA,OTC,ANALGESIC,3,1.16,1.60,3.48,4.8,1.32,27.5,,,,,,,,
NOV_21,APETAMIN CYPROHEPTADINE SYRUP,OTC,VITAMINS,4,14.32,20.00,57.28,80,22.72,28.4,,,,,,,,
NOV_21,ASMADRIN TABS 4 X 25,OTC,RESP,1,0.52,0.80,0.52,0.8,0.28,35.0,,,,,,,,
NOV_21,AUGMENTIN 1G TABS,RX,ANTI_INFECTION,1,50.00,50.00,50,50,0.00,0.0,,,,,,,,
NOV_21,AWAKE MINERAL WATER 500ML,OTC,FOOD,32,0.75,1.00,24,32,8.00,25.0,,,,,,,,
NOV_21,AZOMAX 500MG TAB,RX,ANTI_INFECTION,4,25.20,35.00,100.8,140,39.20,28.0,,,,,,,,
